Date,Open,High,Low,Close,Volume
30-04-2019,216.2,218.65,210.3,214.3,21289116
02-05-2019,211,212.65,206.5,207.3,21986007
03-05-2019,205,213.65,203.05,209.45,37153857
06-05-2019,204,204.5,198,199.8,30117667
07-05-2019,201.7,202.85,189.35,190.95,30516908
08-05-2019,190,190.9,183.8,185.1,28443735
09-05-2019,184.3,189.8,182.3,186.35,32841616
10-05-2019,187,190.6,184.3,185.9,28910719
13-05-2019,186.2,187.15,179.6,180.75,15373536
14-05-2019,178.25,186.05,177.8,184.5,21412933
15-05-2019,185.55,185.95,167.4,169.45,31427815
16-05-2019,176,177.55,172.8,175.4,30308248
17-05-2019,174.95,177.7,170.2,176.85,21575989
20-05-2019,181.45,192,179.25,190.15,29873588
21-05-2019,185.25,186.9,174.05,176.8,57822527
22-05-2019,177.6,180.4,174.8,179.1,25845734
23-05-2019,182.85,182.85,173.5,175.15,22912106
24-05-2019,177,183.5,175.35,182.3,22494409
27-05-2019,181.75,183.5,179.3,181.35,14774311
28-05-2019,181.35,185.3,179.8,180.25,23272915
29-05-2019,179.85,180,175.35,176.35,15222008
30-05-2019,177.5,178.5,173.1,175.15,18078726
31-05-2019,177.8,177.85,170,172.6,21488115
03-06-2019,170.5,175,168.4,174.5,21288078
04-06-2019,174.25,177.2,172.4,173.25,17428731
06-06-2019,174.05,175.85,168.85,169.7,16874819
07-06-2019,169.9,171.7,167.25,169.5,14465703
10-06-2019,170.9,172.05,163.55,166.2,20209862
11-06-2019,166.85,171.9,165.65,170.75,20363493
12-06-2019,170.9,172.2,168.1,169.05,12819208
13-06-2019,166.9,168.9,164.5,167.4,15144315
14-06-2019,167.5,167.5,163.5,164.2,10920508
17-06-2019,163.75,164.15,158,158.75,14381813
18-06-2019,159,161,156.75,158.3,14003043
19-06-2019,160,163.75,152.5,154.65,25257018
20-06-2019,153.45,160,152.15,159.25,19247947
21-06-2019,155,160.75,154.5,158.9,23304207
24-06-2019,158.7,160.2,156.2,159.3,13185118
25-06-2019,158,161,156.85,160.45,13368928
26-06-2019,160.1,162.2,158.75,161.1,18481332
27-06-2019,161.85,168,161.1,165.85,26612983
06-28-19,165.2,166.75,161.35,162.55,15092229
